pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
607,Graphical chart,-10,Blue,,12,NA,Blue has the lead and there isn't much time left in the event. Although green has made some progress lately it is questionable if they will keep improving at the same rate in the future.,-5,NA,It's probably a neutral party but it does make green look like they are improving lately. So it's possible that green was the author.,-5,NA,45 - 54,Some college,,,GreenLeft,Blue,Title,2,Green,Line
608,Graphical chart,-24,Green,,-12,NA,Is is slow and steady increase while blue is decreasing.,0,NA,I don't think it would make any difference which side was the author,0,NA,45 - 54,Doctorate,idk,,GreenLeft,Green,Title,3,Blue,Line
609,Graphical chart,-20,,Green,NA,19,The green company appears to be the one who is making the most consistent progress.,NA,0,I'm pretty sure it was someone with an objective viewpoint of the two companies. ,NA,NA,25 - 34,High school graduate,,,BlueLeft,Green,Annotation,Control,Blue,Line
610,Graphical chart,-2,,Blue,NA,-1,The lines have become basically stagnant & are holding steady after dramatic changes. ,NA,2,true data? Could have been shown by anyone,NA,1,55 - 64,Professional degree,,,BlueLeft,Blue,Annotation,3,Green,Line
611,Graphical chart,-13,Green,,-14,NA,Green is on a uptrend.,-13,NA,To show how Green will eventually pass Blue.,-24,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,2,Green,Line
612,Graphical chart,0,Blue,,18,NA,Overall Blue seems like a more stable company ,0,NA,I dont see any bias within the visuals,0,NA,25 - 34,Professional degree,,,GreenLeft,Blue,Annotation,4,Blue,Line
613,Graphical chart,-5,,Blue,NA,-6,"Blue has peaks and valleys on the graph, but the percentage stays around 50%, whereas, although Green has consistent rises on the graph, it might not make it to 50% or be higher than Blue on October 11.",NA,-18,Headline seems biased,NA,0,35 - 44,2 year degree,If biased headline on graph influences interpretation of graphical data,"I'm not great at reading graphs, but this was an interesting study. Best wishes on your research.",BlueLeft,Blue,Title,4,Blue,Line
615,Graphical chart,-25,Green,,-12,NA,Green continues to trend upward. ,0,NA,The information does not seem faked. ,NA,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,Control,Green,Line
616,Graphical chart,-20,,Green,NA,15,"Green is increasing steadily, while blue is starting to decline",NA,-25,The title and placement of the blue line,NA,0,25 - 34,4 year degree,How visual representation can sway people's opinions of data,"This was interesting and got me thinking, thank you",BlueLeft,Green,Title,2,Blue,Line
617,Graphical chart,-20,,Blue,NA,-1,"Looking at the consistently 50-60% historical data for the blue company and the progressive increase in the green company's historical data, I believe the companies will be tied or the blue company will be only slightly ahead. ",NA,0,The information appears to be historical data and likely unbiased. ,NA,0,25 - 34,Professional degree,,,BlueLeft,Blue,Annotation,3,Blue,Line
618,Graphical chart,-25,Green,,-13,NA,Green is on an upward trajectory while blue is on a downward. They're approaching convergence which appears to likely happen prior to deadline.,0,NA,Market share is an objective statistic. ,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,Control,None,Line
619,Graphical chart,-25,Blue,,23,NA,"Blue has had the higher market share the entire time, and I would expect the odds are better that this stays the same.",0,NA,I think it would be unfair for one of the two companies to provide the chart as they may provide false info to help their company. ,0,NA,45 - 54,2 year degree,How people view information presented on charts.,Thank you!,GreenLeft,Blue,Title,4,Green,Line
620,Graphical chart,-20,,Blue,NA,-17,"The blue line is consistently above the green.  Green is making very marginal motions towards blue, but not increasing significantly quickly enough that would make me believe it could come out on top with one month to go.",NA,0,Its seemingly a graph detailing numbers at their primal level so to speak.  No real manipulation in presentation that I can tell.,NA,0,25 - 34,Professional degree,,,BlueLeft,Blue,Annotation,4,Green,Line
621,Graphical chart,-10,,Green,NA,2,"The overall trend lines appear to intersect very close to the Event Date, so it is likely to be a very close race.  However, growth of Blue appears to have been slowing over the past few months, and Blue also has more dramatic day-to-day fluctuations, while Green is slightly more consistent, so I think it is more likely that Green will win.",NA,-11,"Because they made a point of adding that Blue is greater than Green, even though it is obvious from the chart lines.",NA,0,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,2,Blue,Line
622,Graphical chart,-25,,Green,NA,25,"Although the percentage is always lower, green is always at a steady incline. While blue has drastic jumps up and down.",NA,12,Possibly green to make their low numbers seem better.,NA,NA,25 - 34,2 year degree,,,BlueLeft,Green,Annotation,Control,Green,Line
623,Graphical chart,-15,Green,,-10,NA,"Blue is pretty stable, but it seems like green is growing, making it a better investment in the future.",0,NA,The data seems pretty neutral.,0,NA,35 - 44,4 year degree,,,GreenLeft,Green,Annotation,3,Blue,Line
624,Graphical chart,-4,Blue,,5,NA,their market share is larger,1,NA,I assume the information is unbiased,1,NA,18 - 24,,,,GreenLeft,Blue,Annotation,4,Green,Line
625,Text,14,,Blue,NA,-24,Because the blue is higher on the chart.,NA,-1,Because nothing tells me that it would be one or the other to make it.,NA,NA,25 - 34,4 year degree,How I view information,,BlueLeft,Blue,Title,Control,None,Line
626,Graphical chart,0,Green,,-25,NA,It has had a more stable participation than the blue company,0,NA,"Neutral, I don't think anyone has made that graph",0,NA,25 - 34,Professional degree,,,GreenLeft,Green,Title,3,Green,Line
627,Text,13,,Blue,NA,-14,"Blue has been higher the whole time, but green could catch up to them soon.",NA,0,"I'd like to think it's not bias, and that the info is true.",NA,NA,18 - 24,High school graduate,,,BlueLeft,Blue,Title,Control,None,Line
628,Graphical chart,0,Green,,-19,NA,Incline of green graph is steady,0,NA,No other information to indicate otherwise. ,0,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,2,Blue,Line
629,Text,9,,Blue,NA,-4,"Blue has had steeper highs and lows than green, as such I think Blue will just barely beat out Green before the Event Day.",NA,0,It's not possible to tell if the graph was tailored for either company with the information that is presented.,NA,0,18 - 24,Some college,,,BlueLeft,Blue,Title,2,Green,Line
630,Graphical chart,-13,,Green,NA,10,I feel like Green has the better trajectory.,NA,-14,Because of the annotation about Blue offering the most advanced products.,NA,0,35 - 44,Professional degree,,,BlueLeft,Green,Annotation,4,Blue,Line
631,Text,13,Blue,,12,NA,"Blue has consistently done better than Green. It's possible that Green will have the highest market share percentage in the future, but I think Blue will win since the amount of time before the deadline is short.",13,NA,There is a message on the graph that appears to be supporting Blue.,0,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Annotation,3,Blue,Line
632,Graphical chart,-11,,Green,NA,2,"Green has a more steady upward trend that basically never goes down, whereas Blue is more unpredictable.",NA,0,The scale and axis labels seem reasonable and I don't see bias.,NA,3,25 - 34,Professional degree,,,BlueLeft,Green,Annotation,3,Blue,Line
633,Graphical chart,-15,Blue,,16,NA,cuz they have a higher market share,6,NA,i am not sure but probably blue to make themselves look better,-9,NA,25 - 34,Some college,idk,no,GreenLeft,Blue,Annotation,3,Blue,Line
634,Text,13,Blue,,25,NA,"If Blue holds a higher share percent continuously, Green will not top their percentage.",13,NA,Possibly Blue Author because the chart is more biased towards Blue.,0,NA,25 - 34,High school graduate,,,GreenLeft,Blue,Annotation,3,Blue,Line
635,Graphical chart,-15,,Blue,NA,-4,"Green has been trending up steadily for the entire year and will make it close, but blue has too big of a margin for green to overcome in the next month especially with both companies starting to level out.",NA,7,It makes you think that green has a chance to win based on the trends,NA,0,35 - 44,Professional degree,Bias in graphs,n/a,BlueLeft,Blue,Annotation,3,Blue,Line
636,Graphical chart,-13,,Blue,NA,-9,"It looks like it might be a tie, but I think it's more likely for blue to win because blue doesn't seem to have dipped below the point where it looks like green might eventually reach.",NA,6,"The data is relatively objective, but someone put the phrase in pointing out that green is steadily rising, which seems to favor green more than blue.",NA,0,18 - 24,4 year degree,perception of information on charts.,,BlueLeft,Blue,Annotation,3,Green,Line
638,Graphical chart,-11,,Blue,NA,-13,"It seems most likely that blue will maintain a lead over green on the event day, though it also seems possible green could overtake blue.",NA,5,I think it paints Green positively with solid growth,NA,NA,35 - 44,2 year degree,,,BlueLeft,Blue,Title,Control,None,Line
639,Graphical chart,-17,Green,,-14,NA,"Green is steadily increasing while Blue, although scattered, hangs around the same area. ",10,NA,It could possibly be published by Blue because it shows Blue on top of Green. ,1,NA,25 - 34,4 year degree,It was about how people read charts and what they might assume about the data.,,GreenLeft,Green,Annotation,3,Green,Line
640,Graphical chart,-2,,Green,NA,13,"
























green is showing steady growth ",NA,13,some downturn but not large like blue at various times,NA,NA,75 - 84,Professional degree,Reading charts,,BlueLeft,Green,Title,Control,None,Line
641,Graphical chart,-15,Green,,-5,NA,"Green's progress has been steadily increasing while blue's has remained stagnant, and is currently dipping.",-5,NA,It doesn't favor one company over the other in a super unfair manor.,-2,NA,18 - 24,Some college,,,GreenLeft,Green,Title,2,Blue,Line
642,Graphical chart,-12,,Green,NA,18,They are more steadily inclining.,NA,9,They seem more likely to be higher in October.,NA,NA,18 - 24,4 year degree,,,BlueLeft,Green,Title,Control,None,Line
643,Graphical chart,-19,Green,,-18,NA,"Green is constantly going up, trending upward",-15,NA,The chart seems to favor the green ,NA,NA,18 - 24,,,,GreenLeft,Green,Title,Control,None,Line
644,Graphical chart,-8,,Green,NA,4,"Blue's market shares are quite consistent, never dropping below a certain point, but it does seem that Green has some potential to continue increasing. I think it would be a toss-up, but as long as they continue their trends I believe that Green has a slightly better chance.",NA,25,They made a point to emphasize Green's increasing market share in text.,NA,0,18 - 24,2 year degree,How including certain pieces of information influences interpretation of data,,BlueLeft,Green,Annotation,3,Green,Line
645,Graphical chart,-12,Blue,,13,NA,"While green has a better trendline, it is not on track to pass blue by the event date, but rather a month or two later.",0,NA,There isn't enough information there to assume any bias towards either blue or green.,0,NA,35 - 44,4 year degree,I think it was about how to best present a chart so that a viewer perceives the intended ideas from viewing it. ,"I didn't really see any difference between the two charts presented, without going back to study the first chart a second time after having viewed the second one.",GreenLeft,Blue,Title,2,Blue,Line
646,Graphical chart,-17,,Blue,NA,-10,"Blue continues to be the larger market share, green is coming up faster but will most likely not make it in time",NA,11,green looks more positive in this chart,NA,NA,18 - 24,4 year degree,,,BlueLeft,Blue,Title,Control,None,Line
647,Graphical chart,-14,,Blue,NA,-6,"because green would have surpass Blue's lowest point, which isn't very low. its unpredictable but I am basing my guess on that trend only.",NA,4,"Because the only comment was about green, being positive",NA,0,25 - 34,Some college,,,BlueLeft,Blue,Annotation,3,Green,Line
648,Graphical chart,-20,,Green,NA,14,Green has more steady increase,NA,-13,Makes them look better,NA,-12,18 - 24,4 year degree,Comprehending charts vs text,,BlueLeft,Green,Annotation,3,Green,Line
